,time,xCoord,yCoord
0,12,546324.1466,5277371.558
1,12,545787.7997,5278312.904
2,21,546373.6892,5277604.641
3,29,547864.1359,5277555.875
4,11,547864.1359,5277555.875
5,11,548170.2863,5277185.829
6,24,548036.2429,5276474.276000001
7,29,547926.2438,5276660.023
8,4,546879.3955,5277273.453
9,4,547864.1359,5277555.875
10,6,547170.8557,5277597.195
11,27,548170.2863,5277185.829
12,26,548170.2863,5277185.829
13,26,547651.2337,5276541.26
14,28,548290.9549,5275581.472
15,22,547788.3544,5274749.535
16,23,547861.0571,5274887.0
17,9,548220.3227,5275499.85
18,28,547969.4622,5274866.3780000005
19,25,548220.3227,5275499.85
20,23,548156.1327,5276135.413
21,22,548156.1327,5276135.413
22,25,548156.1327,5276135.413
23,28,547976.6999,5276126.447
24,24,548262.8964,5276057.837
25,29,548262.8964,5276057.837
26,13,548156.1327,5276135.413
27,27,547680.6639,5276216.391
28,23,547831.387,5276015.185
29,15,548156.1327,5276135.413
30,27,547831.387,5276015.185
31,28,547680.6639,5276216.391
32,29,547680.6639,5276216.391
33,22,547680.6639,5276216.391
34,29,547680.6639,5276216.391
35,29,547680.6639,5276216.391
36,25,547680.6639,5276216.391
37,23,547680.6639,5276216.391
38,29,548220.3227,5275499.85
39,21,548220.3227,5275499.85
40,21,548220.3227,5275499.85
41,26,547680.6639,5276216.391
42,26,547680.6639,5276216.391
43,29,547680.6639,5276216.391
44,26,547680.6639,5276216.391
45,27,547919.4816,5275652.865
46,27,547792.3456,5274820.563999999
47,25,547788.3544,5274749.535
48,26,547788.3544,5274749.535
49,28,548220.3227,5275499.85
50,29,548220.3227,5275499.85
51,29,548156.1327,5276135.413
52,4,547245.4594,5275302.909
53,18,548156.1327,5276135.413
54,22,547680.6639,5276216.391
55,10,548265.0776,5277478.3780000005
56,29,548790.9991,5276897.0
57,14,548073.427,5277374.438
58,13,548265.0776,5277478.3780000005
59,19,548833.406,5277133.088
60,26,548833.406,5277133.088
61,22,548374.8712,5277371.061000001
62,29,548170.2863,5277185.829
63,19,548170.2863,5277185.829
64,28,548353.0962,5277366.15
65,18,548353.0962,5277366.15
66,15,548353.0962,5277366.15
67,21,548359.3570000001,5277088.615
68,15,548353.0962,5277366.15
69,11,548307.2347,5277364.8889999995
70,24,548170.2863,5277185.829
71,24,548170.2863,5277185.829
72,22,548307.2347,5277364.8889999995
73,27,548170.2863,5277185.829
74,25,548353.0962,5277366.15
75,15,548790.9991,5276897.0
76,16,548170.2863,5277185.829
77,21,548127.6369,5276733.552
78,17,548170.2863,5277185.829
79,17,548170.2863,5277185.829
80,21,548325.6195,5276464.347
81,21,548047.9299,5276473.546
82,24,548047.9299,5276473.546
83,28,548348.2063,5276422.391
84,26,548790.9991,5276897.0
85,29,548353.0962,5277366.15
86,21,548170.2863,5277185.829
87,19,548420.279,5277038.318
88,14,548170.2863,5277185.829
89,28,548790.9991,5276897.0
90,28,548499.7846,5277061.024
91,19,548790.9991,5276897.0
92,27,548902.5576,5276267.949
93,17,548381.6428,5276331.345
94,27,548334.7056,5276106.975
95,28,548369.0477,5276234.404
96,7,548696.716,5275707.097
97,13,548628.4956,5275940.273
98,28,548696.716,5275707.097
99,29,548339.1555,5275855.904
100,19,548696.716,5275707.097
101,17,548156.1327,5276135.413
102,21,548126.3526,5275885.563999999
103,29,548156.1327,5276135.413
104,27,548265.5605,5276134.803
105,19,548262.8964,5276057.837
106,22,548262.8964,5276057.837
107,29,548025.5615,5276113.085
108,26,548265.5605,5276134.803
109,24,548156.1327,5276135.413
110,19,548156.1327,5276135.413
111,24,548156.1327,5276135.413
112,20,548325.6195,5276464.347
113,23,548156.1327,5276135.413
114,28,548833.406,5277133.088
115,19,548790.9991,5276897.0
116,19,548353.0962,5277366.15
117,27,548353.0962,5277366.15
118,26,548325.6195,5276464.347
119,28,548156.1327,5276135.413
120,20,548262.8964,5276057.837
121,25,548156.1327,5276135.413
122,26,548348.2063,5276422.391
123,10,548156.1327,5276135.413
124,7,548371.2577,5275590.456
125,9,548382.208,5275354.536
126,18,548156.1327,5276135.413
127,20,548902.5576,5276267.949
128,29,548696.716,5275707.097
129,23,548696.716,5275707.097
130,25,549369.9872,5275336.214
131,17,548022.8137,5276072.421
132,9,548755.7743,5275554.574
133,25,548696.716,5275707.097
134,28,548902.5576,5276267.949
135,29,549003.5568,5276282.102
136,26,549369.9872,5275336.214
137,26,548696.716,5275707.097
138,28,548974.806,5275181.718
139,4,548110.0883,5277397.3610000005
140,9,548110.0883,5277397.3610000005
141,26,548170.2863,5277185.829
142,21,547788.3544,5274749.535
143,20,548156.1327,5276135.413
144,22,548170.2863,5277185.829
145,12,545787.7997,5278312.904
146,19,546324.1466,5277371.558
147,29,548290.9549,5275581.472
148,24,548220.3227,5275499.85
149,29,548290.9549,5275581.472
150,18,547788.3544,5274749.535
151,18,548220.3227,5275499.85
152,26,547743.5071,5276118.785
153,23,548156.1327,5276135.413
154,27,547756.8541,5275711.679
155,22,548220.3227,5275499.85
156,27,548156.1327,5276135.413
157,25,548353.0962,5277366.15
158,21,548170.2863,5277185.829
159,29,548498.3958,5277374.057
160,24,548353.0962,5277366.15
161,14,548170.2863,5277185.829
162,15,548522.5836,5277275.67
163,29,548426.8599,5277275.105
164,22,548170.2863,5277185.829
165,22,548262.1955,5276965.871
166,21,548307.2347,5277364.8889999995
167,26,548262.1955,5276965.871
168,28,548047.9299,5276473.546
169,28,548170.2863,5277185.829
170,27,548156.1327,5276135.413
171,29,548376.7184,5276559.64
172,27,548156.1327,5276135.413
173,10,548170.2863,5277185.829
174,19,548737.8541,5277213.33
175,20,548156.1327,5276135.413
176,18,548342.9183,5275927.633
177,29,548516.3206,5275937.911
178,21,548264.7945,5275856.566000001
179,25,548175.5742,5275836.396000001
180,21,548696.716,5275707.097
181,10,548084.4975,5276327.095
182,2,548084.4975,5276327.095
183,3,548084.4975,5276327.095
184,25,547983.0183,5276421.927
185,25,548044.0744,5277386.152
186,18,548170.2863,5277185.829
187,24,548044.0744,5277386.152
188,13,548833.406,5277133.088
189,24,548790.9991,5276897.0
190,13,548790.9991,5276897.0
191,29,549369.9872,5275336.214
192,28,549369.9872,5275336.214
193,27,548056.4662,5276106.478999999
194,24,548265.5605,5276134.803
195,23,548156.1327,5276135.413
196,27,548156.1327,5276135.413
197,29,547788.3544,5274749.535
198,21,547788.3544,5274749.535
199,25,548220.3227,5275499.85
200,18,547788.3544,5274749.535
201,21,547864.1359,5277555.875
202,23,546991.8116,5277245.267
203,23,546991.8116,5277245.267
204,7,548220.3227,5275499.85
205,11,547973.1858,5275358.903
206,29,548156.1327,5276135.413
207,26,547928.4415,5275668.546
208,28,547743.5577,5276047.228999999
209,19,548156.1327,5276135.413
210,22,548156.1327,5276135.413
211,22,548156.1327,5276135.413
212,29,548156.1327,5276135.413
213,25,548359.9896,5277174.297
214,11,548353.0962,5277366.15
215,24,548170.2863,5277185.829
216,26,548047.9299,5276473.546
217,29,548156.1327,5276135.413
218,26,548156.1327,5276135.413
219,23,548156.1327,5276135.413
220,25,548373.8938,5276460.162
221,25,548170.2863,5277185.829
222,28,548790.9991,5276897.0
223,19,548170.2863,5277185.829
224,26,548696.716,5275707.097
225,27,548342.9183,5275927.633
226,28,548156.1327,5276135.413
227,26,548220.3227,5275499.85
228,15,548265.5605,5276134.803
229,22,548262.8964,5276057.837
230,26,548156.1327,5276135.413
231,29,548156.1327,5276135.413
232,26,548731.3349,5277222.678
233,16,548731.3349,5277222.678
234,22,548523.7998,5277172.96
235,21,548170.2863,5277185.829
236,29,548156.1327,5276135.413
237,29,549432.6857,5276425.678
238,24,548156.1327,5276135.413
239,28,548334.7056,5276106.975
240,29,548707.4670000001,5277209.123
241,26,548731.3349,5277222.678
242,26,548307.2347,5277364.8889999995
243,7,548061.9625,5275652.551
244,9,548061.9625,5275652.551
245,27,548060.8178,5276087.983
246,18,548262.8964,5276057.837
247,24,548170.2863,5277185.829
248,28,548156.1327,5276135.413
249,20,548047.9299,5276473.546
250,23,548158.0636,5276684.429
251,28,548220.3227,5275499.85
252,28,546879.3955,5277273.453
253,25,546879.3955,5277273.453
254,22,548334.8788,5276556.196
255,19,548325.6195,5276464.347
256,27,548156.1327,5276135.413
257,8,547084.1304,5275677.857
258,27,548156.1327,5276135.413
259,11,548156.1327,5276135.413
260,15,548262.8964,5276057.837
261,18,548156.0591,5276067.016
262,25,547864.1359,5277555.875
263,28,547864.1359,5277555.875
264,29,546879.3955,5277273.453
265,28,547788.3544,5274749.535
266,24,548220.3227,5275499.85
267,29,547866.9857,5275214.274
268,26,548156.1327,5276135.413
269,18,548262.8964,5276057.837
270,29,548833.406,5277133.088
271,4,548790.9991,5276897.0
272,12,548744.594,5277090.87
273,15,548833.406,5277133.088
274,24,548833.406,5277133.088
275,26,548716.8289,5276893.154
276,19,548428.996,5277102.011
277,11,548170.2863,5277185.829
278,15,548428.996,5277102.011
279,26,548790.9991,5276897.0
280,28,548433.6012,5276821.561000001
281,27,548433.6012,5276821.561000001
282,25,548170.2863,5277185.829
283,27,548047.9299,5276473.546
284,29,548170.2863,5277185.829
285,29,548265.5605,5276134.803
286,10,548048.4016,5276454.796
287,21,548048.4016,5276454.796
288,25,548262.8964,5276057.837
289,20,548381.6428,5276331.345
290,23,548027.9259,5276152.879
291,17,548265.5605,5276134.803
292,28,548381.6428,5276331.345
293,21,548374.8712,5277371.061000001
294,26,548790.9991,5276897.0
295,29,548902.5576,5276267.949
296,28,548696.716,5275707.097
297,22,548073.9448,5276334.946
298,13,548048.4016,5276454.796
299,23,548073.9448,5276334.946
300,24,548047.9299,5276473.546
301,28,548424.4057,5276933.34
302,25,548170.2863,5277185.829
303,28,548170.2863,5277185.829
304,7,548170.2863,5277185.829
305,1,548604.4194,5277275.91
306,2,548604.4194,5277275.91
307,26,548156.1327,5276135.413
308,24,547680.6639,5276216.391
309,17,547680.6639,5276216.391
310,27,548170.2863,5277185.829
311,27,548170.2863,5277185.829
312,3,547171.1612,5277262.227
313,26,548262.8964,5276057.837
314,29,548156.1327,5276135.413
315,23,547281.66,5275972.172
316,17,548047.9299,5276473.546
317,25,548156.1327,5276135.413
318,17,548156.1327,5276135.413
319,25,548696.716,5275707.097
