schoolID,CODE,NAME,ABB_NAME,X,Y
1,College or University,Cornish College of the Arts,Cornish College,549874.0518,5274074.67
2,Elementary,St. Paul School,St. Paul,555512.6343,5262151.157
3,Elementary,Amazing Grace Christian School,Amazing Grace,555738.5532,5262203.525
4,Elementary,St. Anne School,St. Anne,548220.3227,5275499.85
5,Elementary,Lowell Elementary School,Lowell,551216.9704,5274783.294
6,Elementary,Madrona K-8 School,Madrona,553293.1099,5273447.086
7,Elementary,St. John Catholic School,St. John,548256.6761,5281647.172
8,High,Seattle Academy - Upper School,Seattle Academy,551377.5698,5273482.589
9,Elementary,St. Matthew School,St. Matthew,551460.4867,5285599.567
10,Alternative,The Center High School,The Center,548776.2718,5274426.979
11,Alternative,Queen Anne Elementary School,Queen Anne,548902.5576,5276267.949
12,Elementary,Waldorf School - Kinderhaus Campus,Waldorf Kindergarten,549567.1497,5279258.575
13,Elementary,University Child Development School,University Child Dev,551195.7558,5279476.561
14,Elementary,Assumption St. Bridget School,Assumption,553081.3127,5280411.074
15,Elementary,Westside School,Westside,547124.9661,5261985.761
16,College or University,City University-Bellevue,City University,549270.1576,5273979.061
17,Elementary,Stevens Elementary School,Stevens,551984.0381,5275624.188
18,Elementary,Olympic Hills Elementary School,Olympic Hills,551980.4056,5285863.522
19,Elementary,Broadview-Thomson K-8 School,Broadview-Thomson,548419.3318,5285902.424
20,Elementary,Whittier Elementary School,Whittier,547050.7604,5281324.008
21,Alternative,Licton Springs K-8 School,Licton Springs,549485.9858,5282623.912
22,Elementary,Leschi Elementary School,Leschi,553232.4084,5272320.003
23,High,Lakeside High School,Lakeside High,550479.9608,5286811.402
24,Junior High/Middle,Seattle Academy - Middle School,Seattle Academy,551663.8285,5273622.31
25,Alternative,F.A. McDonald International Elementary School,McDonald Intl,550554.0781,5279651.479
26,Elementary,Greenwood Elementary School,Greenwood,548025.3935,5281742.176
27,Elementary,Bright Water School - Waldorf,Bright Water,551040.4467,5275706.802
28,Junior High/Middle,Asa Mercer Middle School,Asa Mercer,551746.1619,5268086.465
29,Elementary,McGilvra Elementary School,McGilvra,553724.4041,5275878.524
30,Alternative,Salmon Bay K-8 School,Salmon Bay,546498.7639,5280574.801
31,High,Edward S. Ingraham High School,Ingraham,549649.9296,5286085.158
32,Alternative,Pathfinder K-8 School,Pathfinder,548299.5344,5267895.474
33,Elementary,John Hay Elementary School,John Hay,548696.716,5275707.097
34,Junior High/Middle,Morningside Academy,Morningside,549679.1526,5274274.334
35,Junior High/Middle,Washington Middle School,Washington,552309.195,5271850.872
36,Other Facility,John Stanford Center (Administration),John Stanford Center,550279.6791,5269889.088
37,College or University,Art Institute of Seattle,Art Institute,548909.879,5273414.483
38,Elementary,Green Lake Elementary School,Green Lake,550372.5305,5280547.416
39,Elementary,Montlake Elementary School,Montlake,552261.3044,5276593.976
40,Alternative,Skills Center High School,Skills Center,550317.7936,5270051.404
41,High,Chief Sealth International High School,Chief Sealth,547708.0503,5264135.185
42,Junior High/Middle,David T. Denny International Middle School,David T. Denny Intl,547716.2149,5264408.828
43,Elementary,Seattle Country Day School,Seattle Country Day,548790.9991,5276897
44,Elementary,Lafayette Elementary School,Lafayette,546096.747,5269791.396
45,Junior High/Middle,Seattle Girls School,Seattle Girls,552842.123,5272031.355
46,Elementary,Wedgewood Elementary School,Wedgewood,552744.8029,5282146.398
47,High,West Seattle High School,West Seattle,546229.6011,5269467.456
48,Elementary,Alki Elementary School,Alki,544533.1783,5269472.832
49,Elementary,The Valley School,Valley,553126.7386,5274519.325
50,Elementary,John Muir Elementary School-Seattle,John Muir,553354.4709,5269113.434
51,Elementary,William Cullen Bryant Elementary School,WC Bryant,553147.3748,5280034.346
52,K-12,Bush School,Bush,553447.8125,5274635.03
53,Elementary,Our Lady of the Lake School,Our Lady of the Lake,553326.5352,5282488.597
54,Elementary,Makkah Islamic School,Makkah Islamic,553687.1485,5266471.209
55,Elementary,Wing Luke Elementary School,Wing Luke,553824.7276,5264393.817
56,Elementary,Arbor Heights Elementary School,Arbor Heights,546867.4322,5261995.597
57,Elementary,Fairmount Park Elementary School,Fairmount Park,546633.3679,5266758.67
58,Elementary,B.F. Day Elementary School,B.F. Day,548880.8999,5278134.333
59,Alternative,Ida B. Wells School of Social Justice,Ida B. Wells,551818.8894,5278052.286
60,College or University,University of Washington-HUB,UW-HUB,552164.7622,5278218.375
61,Elementary,Lawton Elementary School,Lawton,545787.7997,5278312.904
62,Alternative,Middle College High School at Northgate Mall,Middle College at Northgate,550611.7335,5284064.42
63,Elementary,John Rogers Elementary School,John Rogers,553666.2416,5283991.452
64,Elementary,Hawthorne Elementary School,Hawthorne,553903.0297,5268303.1
65,Elementary,Holy Rosary School,Holy Rosary,546258.661,5268183.495
66,Elementary,Christ the King School,Christ the King,548489.8323,5284706.471
67,Elementary,St. Edward School,St. Edward,554240.4003,5266611.717
68,Elementary,Hope Lutheran School,Hope Lutheran,546256.6751,5267961.233
69,Elementary,The Meridian School,Meridian,550188.7822,5279113.576
70,Elementary,South Shore K-8 School,South Shore,554803.5035,5263643.723
71,Elementary,St. Benedict School,St. Benedict,549792.4427,5279159.745
72,Elementary,KapKa Cooperative School,KapKa Coop,548924.2297,5279249.958
73,Elementary,Maple Elementary School,Maple,551239.5387,5267414.453
74,Elementary,Villa Academy School,Villa Academy,554548.1993,5279181.502
75,Elementary,Graham Hill Elementary School,Graham Hill,555039.9766,5266077.884
76,College or University,Washington Academy of Languages,WA Academy of Languages,548302.2475,5277574.283
77,Alternative,Grover Cleveland STEM High School,Grover Cleveland,551620.3516,5266770.411
78,Elementary,West Woodland Elementary School,West Woodland,547876.4582,5279839.899
79,Alternative,Louisa Boren STEM K-8 School,Louisa Boren,547995.0918,5266330.56
80,College or University,South Seattle College,South Seattle College,548826.4411,5266325.868
81,Elementary,Adams Elementary School,Adams,545630.4626,5280191.019
