FID,GEO_ID,STATE,COUNTY,TRACT,BLKGRP,NAME,LSAD,CENSUSAREA,BG_Pop,GEO_displa,Tot_Race,Tot_W,Tot_Bl,Tot_AIAN,Tot_As,Tot_HawPI,Tot_Oth,Med_HH_Inc
0,1500000US530330070005,53,033,007000,5,5,BG,0.029000000000000,904,"Block Group 5, Census Tract 70, King County, Washington",904,841,0,0,37,0,0,40700
1,1500000US530330070006,53,033,007000,6,6,BG,0.058000000000000,1319,"Block Group 6, Census Tract 70, King County, Washington",1319,1187,21,54,0,0,0,102500
2,1500000US530330071001,53,033,007100,1,1,BG,0.120000000000000,1767,"Block Group 1, Census Tract 71, King County, Washington",1767,1175,78,0,181,0,246,76065
3,1500000US530330054001,53,033,005400,1,1,BG,0.087000000000000,1217,"Block Group 1, Census Tract 54, King County, Washington",1217,1146,52,0,0,0,0,113167
4,1500000US530330058011,53,033,005801,1,1,BG,0.082000000000000,1202,"Block Group 1, Census Tract 58.01, King County, Washington",1202,1132,26,0,29,0,0,72419
5,1500000US530330059001,53,033,005900,1,1,BG,0.184000000000000,2335,"Block Group 1, Census Tract 59, King County, Washington",2335,1771,81,7,175,0,25,81150
6,1500000US530330059005,53,033,005900,5,5,BG,0.165000000000000,1240,"Block Group 5, Census Tract 59, King County, Washington",1240,1212,0,0,28,0,0,163750
7,1500000US530330067002,53,033,006700,2,2,BG,0.114000000000000,2023,"Block Group 2, Census Tract 67, King County, Washington",2023,1372,8,19,373,0,0,107452
8,1500000US530330069001,53,033,006900,1,1,BG,0.084000000000000,1266,"Block Group 1, Census Tract 69, King County, Washington",1266,1184,0,0,60,0,0,110417
9,1500000US530330070002,53,033,007000,2,2,BG,0.026000000000000,1294,"Block Group 2, Census Tract 70, King County, Washington",1294,1191,21,0,82,0,0,48393
10,1500000US530330070004,53,033,007000,4,4,BG,0.046000000000000,988,"Block Group 4, Census Tract 70, King County, Washington",988,768,1,1,55,34,0,81827
11,1500000US530330048003,53,033,004800,3,3,BG,0.178000000000000,1169,"Block Group 3, Census Tract 48, King County, Washington",1169,990,0,27,132,0,0,115125
