workID,DESCR,X,Y,Shape_Length,Shape_Area
1,Commercial/Mixed Use,545239.5425,5279310.598,20.76495843,28.05535432
2,Manufacturing/Industrial,546827.6875,5278198.516,38.23683122,80.41024492
3,Commercial/Mixed Use,546775.8362,5277486.733,81.6450214,338.9539121
4,Commercial/Mixed Use,546778.9302,5277470.385,110.7838832,499.5812222
5,Commercial/Mixed Use,546779.4392,5277502.181,91.71404016,403.465279
6,Manufacturing/Industrial,546900.16,5275562.424,118.1567334,663.6842977
7,Manufacturing/Industrial,546929.9921,5275503.581,62.89309783,201.8781637
8,Manufacturing/Industrial,546881.0404,5275562.692,72.95137968,204.5941367
9,Manufacturing/Industrial,547370.3928,5275036.76,94.66463957,513.6371999
10,Manufacturing/Industrial,547394.2619,5274994.83,265.590753,2312.453958
11,Manufacturing/Industrial,547306.8247,5275072.482,201.7145685,1164.69626
12,Manufacturing/Industrial,547342.6219,5275079.214,159.1715268,705.6682438
13,Manufacturing/Industrial,546259.4465,5278175.723,110.1990689,962.0090726
25,Manufacturing/Industrial,546514.2071,5278070.76,97.48917267,385.5487058
26,Manufacturing/Industrial,546563.6172,5278072.979,152.0087273,1040.161277
27,Commercial/Mixed Use,546771.4902,5277457.64,45.84861059,124.0976636
28,Commercial/Mixed Use,546616.091,5277201.416,25.59423745,40.77817213
29,Commercial/Mixed Use,546644.6193,5277293.955,20.47302503,24.21829467
30,Commercial/Mixed Use,546630.7456,5277280.169,30.40900762,55.92018988
31,Manufacturing/Industrial,546622.1475,5277592.71,143.627697,1131.664016
32,Manufacturing/Industrial,546585.7336,5277596.74,118.352983,625.0269749
33,Manufacturing/Industrial,546619.1176,5277489.912,89.35051545,344.0794553
34,Manufacturing/Industrial,546721.5348,5277529.566,208.6751016,2252.925015
35,Manufacturing/Industrial,546781.2686,5277719.787,73.69494536,324.4749286
36,Manufacturing/Industrial,546784.5696,5277737.276,64.63152116,260.4252717
37,Manufacturing/Industrial,546721.7664,5277736.202,113.2866848,623.4929542
38,Manufacturing/Industrial,546502.3628,5277904.303,26.10080791,38.83316145
39,Manufacturing/Industrial,546596.4165,5277814.165,66.38894281,169.7643016
40,Manufacturing/Industrial,546587.3592,5277790.526,11.87205652,10.75676605
41,Manufacturing/Industrial,546566.817,5277862.842,45.7715609,99.63941137
